week,anno,treat,weight,sul,smi 
4,35,0,5.2,35.6,17.6
4,36,0,5.36,37.4,21
4,37,0,7.1,40.2,14.6
4,38,0,5.03,36.6,15.5
4,39,0,5.73,38.3,14.1
4,40,0,7.33,40.2,15.5
4,41,0,5.21,36.4,17.3
4,42,0,5.27,36.3,21.7
4,43,0,5.43,36.8,13.1
4,44,0,4.43,33.1,15.3
4,45,0,4.79,35.5,16.7
4,46,0,3.63,33.4,17.9
4,47,0,7.24,37.9,14.4
4,48,0,5.38,36.6,14.4
4,49,0,6.33,37,15.8
4,50,0,2.82,29.9,13.4
4,51,0,5.53,36.7,19.4
4,52,0,5.49,37.8,17.7
4,53,0,3.76,32.4,16.3
4,54,0,6.09,37.9,20
4,55,0,4.76,35,13.5
4,56,0,6,36.9,16.7
4,57,0,3.9,33.2,13.9
4,58,0,5.24,35.5,16.2
4,59,0,4.41,34.6,21.7
4,60,0,5.89,38,16.1
4,61,0,3.21,31,8.5
4,62,0,7.63,40.2,14.6
4,63,0,3.93,33.3,17.9
4,64,0,4.52,34.5,15.9
4,65,0,5.5,35.9,10.7
4,66,0,4.11,32.5,11.7
4,67,0,5.01,35.8,15.1
4,68,0,4.03,33.5,17.5
4,69,0,5.82,37.6,14.7
4,70,0,3.55,32.4,10.9
4,71,0,2.8,30.4,19
4,72,0,3.89,32.7,9.1
4,73,0,3.38,30.5,12.8
4,74,0,5.55,38,12.2
4,1,1,5.17,35.9,12.7
4,2,1,3.1,30.4,12
4,3,1,4.47,35.6,13.5
4,4,1,5.34,36.5,12
4,5,1,4.33,33.4,11.7
4,6,1,4.36,35.3,14.2
4,7,1,3.83,34.4,11.9
4,8,1,6,38.1,13.2
4,9,1,6.59,40.3,11.8
4,10,1,5.08,35.3,11.7
4,11,1,4.2,33,13
4,12,1,3.55,32.9,10.4
4,13,1,3.48,32,13
4,14,1,3.73,34.3,12.7
4,15,1,3.61,32.6,12.1
4,16,1,4.85,35.5,13.4
4,17,1,4.72,35.7,13.5
4,18,1,3.58,32.8,11.1
4,19,1,4.28,34.6,13.2
4,20,1,5.31,36.5,10.1
4,21,1,3.62,31.4,13.3
4,22,1,3.4,32.2,11.8
4,23,1,3.85,32.9,12.7
4,24,1,3.36,32,13.8
4,25,1,3.01,30.8,11.6
4,26,1,4.12,35,12.3
4,27,1,3.38,32.3,14.3
4,28,1,4.43,33,11.9
4,29,1,4.81,35.8,11.4
4,30,1,3.01,30.7,12
4,31,1,4.44,35.8,13.6
4,32,1,4,33.5,12.3
4,33,1,3.83,34.4,13.3
4,34,1,4.34,34,13
4,35,1,3.93,33.1,14.1
4,36,1,4.6,34.9,14.8
4,37,1,4.95,36.8,12.3
4,38,1,5.1,36.2,12.9
4,39,1,8.53,41.7,10.9
4,40,1,4.22,34.5,14.3
4,41,1,4.01,33.2,13.5
4,42,1,3.81,32.2,9.5
4,43,1,3.49,31.9,12.9
4,44,1,4.13,34.2,12.2
4,45,1,4.18,35.1,12.6
4,46,1,2.82,31,12.8
4,47,1,5.35,38.2,12.1
4,48,1,4.78,35.4,12.4
4,49,1,4.03,34.4,16.2
4,50,1,3.48,33.1,13.5
4,51,1,5.44,35.4,20.7
4,52,1,4.71,36.1,12.8
4,53,1,4.08,34.5,12.2
4,54,1,4.33,34.3,13.3
4,55,1,3.68,34,13.9
4,56,1,4.29,35,13
4,57,1,4.18,34.3,11.2
4,58,1,3.96,34.3,12.5
4,59,1,4.61,35.4,11.6
4,60,1,4.13,35.8,14
4,61,1,3.95,35,17.6
4,62,1,5,36.6,12.7
4,63,1,3.86,33.6,15.2
4,64,1,4.39,34.5,13.3
4,65,1,3.78,33.3,10.8
4,66,1,3.67,32.6,12.9
4,67,1,4.35,34.8,11.2
4,68,1,3.32,33.2,12
4,69,1,4.59,36.6,14.4
4,70,1,4.3,35.3,16.5
4,71,1,4,34.4,12.4
4,72,1,4.54,35.2,14.2
4,73,1,4.63,35.7,9.6
4,74,1,3.48,32.6,12.4
8,1,0,5.06,36.3,15
8,2,0,6.51,37.6,12.4
8,3,0,6.44,38.6,14.7
8,4,0,4.76,35.1,14.8
8,5,0,7.94,41.2,16.2
8,6,0,5.97,38.5,13.8
8,7,0,4.47,36.4,13.7
8,8,0,9.09,42.7,10.5
8,9,0,5.8,38.1,16.1
8,10,0,7.56,40.5,14.6
8,11,0,6.02,39.7,13.6
8,12,0,6.96,40.1,13.6
8,13,0,7.68,42.2,10.1
8,14,0,5.15,37.7,15.3
8,15,0,4.74,35.8,10.9
8,16,0,6.85,40,10.9
8,17,0,6.55,38.6,11.1
8,18,0,8.18,40.6,9.5
8,19,0,5.39,38.5,18.4
8,20,0,5.48,36.8,15.1
8,21,0,4.89,36,16.2
8,22,0,5.49,36.9,8.5
8,23,0,6.36,38.3,11.6
8,24,0,9.39,45.1,13
8,25,0,4.55,36.2,23.7
8,26,0,5.7,38.8,11.4
8,27,0,6.34,39.4,16.4
8,28,0,6.83,39.6,17.3
8,29,0,5.19,37.6,17.2
8,30,0,5.07,36.7,18.6
8,31,0,6.06,40,12.6
8,32,0,4.39,34.1,11.6
8,33,0,7.28,39,12.3
8,34,0,6.86,40.2,18.2
8,35,0,6.16,39.4,18
8,36,0,8.06,42,17.7
8,37,0,4.56,35.2,15.2
8,38,0,6.18,38.6,17.9
8,39,0,5.14,38.5,22.1
8,40,0,5.87,37.8,12.3
8,41,0,8.82,42.3,14.4
8,42,0,5.87,38,15
8,43,0,2.52,30.9,16.1
8,44,0,5.17,36.8,12.9
8,45,0,7.18,41.7,21.1
8,46,0,5.93,38.8,24.2
8,47,0,3.42,33.3,17.4
8,48,0,3.82,33.9,14
8,49,0,5.4,37.1,16.4
8,50,0,6.7,39.8,13.8
8,51,0,5.02,35.4,10.5
8,52,0,3.13,29.9,10.9
8,53,0,7.23,39.6,16.8
8,54,0,2.7,30.8,19.4
8,55,0,4.31,35.1,21
8,56,0,4.16,35.4,18.1
8,57,0,5.4,37.5,16.6
8,58,0,3.91,32.8,23.1
8,59,0,5.05,35.8,27.4
8,60,0,5.15,36.3,22.9
8,61,0,5.7,36.7,22.4
8,62,0,4.78,36,17.8
8,63,0,5.09,38.5,18.3
8,64,0,3.05,30.3,18.8
8,65,0,5.57,36,17
8,66,0,5.01,35.7,19.3
8,67,0,4.6,35.2,16.1
8,68,0,4.37,33.4,19
8,69,0,3.14,32.4,18.5
8,70,0,5.78,39.3,21.4
8,71,0,3.65,34.7,18.1
8,72,0,3.57,34.2,14.3
8,73,0,3.47,32.5,23.1
8,74,0,2.79,30.5,21.7
8,1,1,4.54,35.7,10.4
8,2,1,3.27,33.8,15
8,3,1,4.44,34.6,13.5
8,4,1,4.01,35.3,10.3
8,5,1,4.26,35,12.1
8,6,1,4.77,35.9,11.4
8,7,1,3.83,34.2,11.3
8,8,1,3.92,33.1,13.3
8,9,1,4.8,35,12.4
8,10,1,3.77,32.9,15.2
8,11,1,3.75,34.1,10.4
8,12,1,3.88,33.7,14.4
8,13,1,4.49,34.3,12.3
8,14,1,4,33.8,11.7
8,15,1,4.81,37.7,12.1
8,16,1,4.56,36.5,11.2
8,17,1,4.7,34.6,11
8,18,1,5.13,36,12.4
8,19,1,3.96,33.5,12.5
8,20,1,4.46,35.9,12.3
8,21,1,3.42,32.5,16.5
8,22,1,5.2,37.7,12.1
8,23,1,4.77,36.8,14.3
8,24,1,2.95,32.2,12.2
8,25,1,4.33,34.9,11.8
8,26,1,4.04,34.5,12.6
8,27,1,4.06,33.6,14.5
8,28,1,4.2,34,11.4
8,29,1,4.05,34.8,12.9
8,30,1,4.27,35.7,9.7
8,31,1,5.67,36.4,10.5
8,32,1,4.44,34.3,11.8
8,33,1,8.56,43,14.4
8,34,1,4.38,35.7,14.4
8,35,1,4.13,35.2,11.1
8,36,1,4.61,36,11.3
8,37,1,4.8,35.9,10.7
8,38,1,4.43,35.5,10.6
8,39,1,3.57,33.1,11.6
8,40,1,4.15,34.5,8.8
8,41,1,3.51,31.6,12.2
8,42,1,4.71,34.9,11.6
8,43,1,6.78,40.1,12.6
8,44,1,4.45,36.5,15.4
8,45,1,5.33,36.4,16.6
8,46,1,4.38,34.2,11
8,47,1,3.31,31.8,13.7
8,48,1,4.36,35.1,10.8
8,49,1,3.62,33.5,12.6
8,50,1,3.83,33.2,9.5
8,51,1,5.07,36.5,11
8,52,1,5.92,37.4,13.7
8,53,1,4.32,36.1,10.4
8,54,1,5.07,37.2,13.2
8,55,1,2.83,30.5,13.3
8,56,1,4.08,34.1,10.5
8,57,1,3.06,30.6,8.9
8,58,1,5.33,37,13.6
8,59,1,4.59,35.3,14.7
8,60,1,3.17,32,10.7
8,61,1,4.04,34.6,12.3
8,62,1,3.75,34.3,12.2
8,63,1,3.44,31.8,12.2
8,64,1,4.44,34.7,12.2
8,65,1,4.12,34.5,11.8
8,66,1,5.3,36.2,13
8,67,1,3.16,31.7,12
8,68,1,4.89,35.2,11.6
8,69,1,4.07,34.4,13.2
8,70,1,3.72,33.2,15
8,71,1,3.74,32.2,12.1
8,72,1,3.57,33.1,13.2
8,73,1,3.48,32.8,9.5
8,74,1,4.25,35.7,11.1
12,1,0,6.84,38.6,17.6
12,2,0,5.17,35.7,14.9
12,3,0,5.92,38.1,19.6
12,4,0,2.47,30.2,15.5
12,5,0,3.57,31.9,16.5
12,6,0,4.5,35.9,15.9
12,7,0,9.47,41.6,20.1
12,8,0,3.79,34.6,16.3
12,9,0,6.08,38.6,15.4
12,10,0,6.2,37.3,16
12,11,0,6.44,38.9,19.8
12,12,0,6.83,38.2,18
12,13,0,4.12,34,15.4
12,14,0,3.48,31.3,18.2
12,15,0,4.19,35.4,19.1
12,16,0,6.95,39.7,17.4
12,17,0,6.88,39.8,15.8
12,18,0,6.4,37.6,15.2
12,19,0,5.6,38.4,23
12,20,0,6.92,40.1,17.3
12,21,0,8.91,42,21.4
12,22,0,3.99,33.8,21
12,23,0,5.13,37,20.3
12,24,0,5.57,38.5,16
12,25,0,5.95,38.4,19.3
12,26,0,4.2,33.8,23.2
12,27,0,8.64,42.6,18.7
12,28,0,10.47,45,24.9
12,29,0,6.44,38.4,21.7
12,30,0,4.87,36.1,18.2
12,31,0,6.28,39.8,23.5
12,32,0,4.76,36,18.6
12,33,0,3.37,33.4,21.7
12,34,0,3.33,31.7,20.7
12,35,0,6.38,39.6,23.7
12,36,0,7.35,39.5,19.7
12,37,0,8.31,41.1,19.3
12,38,0,7.05,40.5,21.5
12,39,0,5.58,35,20.8
12,40,0,9.2,41.4,16.6
12,41,0,12.01,45.6,17.2
12,42,0,9.5,43.1,21.2
12,43,0,8.93,41.5,19.5
12,44,0,7,40.8,18.5
12,45,0,6.89,39.1,16.9
12,46,0,7.21,39.8,18.9
12,47,0,6.36,38.9,16.9
12,48,0,7.42,39.9,20
12,49,0,5.96,38.6,18.1
12,50,0,7.18,39.4,16.7
12,51,0,7.19,40.4,17.6
12,52,0,8.83,42.9,15.4
12,53,0,6.7,38.6,22.3
12,54,0,4.93,35.8,17.8
12,55,0,9.66,43.4,21.1
12,56,0,8.67,41.6,23.3
12,57,0,6.83,40.4,19.8
12,58,0,5.16,36,18.5
12,59,0,7.88,41.8,16.1
12,60,0,5.71,38.3,18.6
12,61,0,6.19,39,19
12,62,0,5.74,37.5,15
12,63,0,7.96,41.2,19.4
12,64,0,6,38.2,13.6
12,65,0,5.42,36.6,14.5
12,66,0,5.91,38.4,15.6
12,67,0,7.9,41.6,24.9
12,68,0,6.84,39.5,18.6
12,69,0,5.49,37.1,10.3
12,70,0,7.14,40.7,19.6
12,71,0,7.4,40.3,11.9
12,72,0,6.3,37.7,14.2
12,73,0,5.63,37.1,17.2
12,74,0,5.41,37,15.3
12,1,1,4.33,35.9,13
12,2,1,3.85,32.5,12.6
12,3,1,5.82,36.7,12.9
12,4,1,3.82,32.9,11.1
12,5,1,5.13,37.2,11.2
12,6,1,3.92,33.3,13.2
12,7,1,3.83,33.8,12.3
12,8,1,4.35,35.8,19.2
12,9,1,5.19,37.2,11.9
12,10,1,3.75,34.3,11.9
12,11,1,4.3,34.8,13.9
12,12,1,2.96,31.6,12.1
12,13,1,3.23,31.9,12.3
12,14,1,3.88,34.2,13.4
12,15,1,5.07,36.5,12.3
12,16,1,4.97,35.9,12.8
12,17,1,3.51,33,10.7
12,18,1,3.64,33.6,12
12,19,1,3.4,33.1,23.3
12,20,1,3.29,32.2,15.6
12,21,1,4.1,36.8,16.3
12,22,1,2.72,32,13.4
12,23,1,4.23,36.2,14.3
12,24,1,3.8,34,13.7
12,25,1,4.16,34.3,11.9
12,26,1,5.5,37.1,14
12,27,1,6.65,41.6,11.1
12,28,1,3.51,33.3,16
12,29,1,4.45,33.7,12.3
12,30,1,3.67,35.5,13.1
12,31,1,4.43,36.7,12.4
12,32,1,2.81,30.8,10.9
12,33,1,3.53,33.3,11.8
12,34,1,4.75,36.1,13.4
12,35,1,3.31,33.2,12.7
12,36,1,4.56,35.8,12.9
12,37,1,4.67,36.6,13.1
12,38,1,3.25,32.1,14.1
12,39,1,2.69,31.5,14.6
12,40,1,4.77,36.4,13.3
12,41,1,5.2,36.8,14.3
12,42,1,3.52,34.3,12.4
12,43,1,4.19,35.4,13.7
12,44,1,4.05,34.5,9.4
12,45,1,3.91,33.4,13.1
12,46,1,4.3,36.6,14.1
12,47,1,3.93,34.5,12.8
12,48,1,4.23,33.9,12.2
12,49,1,4.03,34.8,12.7
12,50,1,3.86,34.6,12.3
12,51,1,4.72,37.1,12.1
12,52,1,5.22,36.2,10.2
12,53,1,3.95,34,15.5
12,54,1,4.39,34.5,13
12,55,1,3.08,33.7,14.5
12,56,1,3.55,33.4,11.5
12,57,1,4.71,37.8,11.7
12,58,1,4.37,36,11.6
12,59,1,4.18,33.8,9.6
12,60,1,3.46,32.5,13.7
12,61,1,3.6,33.5,10.5
12,62,1,4.66,36.7,11.8
12,63,1,4.28,36.3,11.3
12,64,1,8.18,44.2,16.5
12,65,1,3.89,33.9,9.7
12,66,1,4.08,35.7,13.1
12,67,1,5.02,37.6,12.2
12,68,1,3.99,34.4,12.2
12,69,1,4.13,34.8,12.7
12,70,1,4.94,38.4,14.6
12,71,1,4.31,36.3,13.5
12,72,1,4.41,35.7,14.1
12,73,1,3.4,33.2,11.3
12,74,1,4,34.7,12.9
16,1,0,10.01,45.3,13
16,2,0,6.38,38.3,23.9
16,3,0,8.49,41.3,26
16,4,0,8.93,44.3,15.1
16,5,0,8.51,43.6,13
16,6,0,6.03,39.2,18.9
16,7,0,8.01,43.2,18.9
16,8,0,10.1,45.2,12
16,9,0,7.44,41.3,16.7
16,10,0,11.5,48.1,19.9
16,11,0,8.82,42.3,16.4
16,12,0,7.21,41.2,19.5
16,13,0,9.99,44.2,18.3
16,14,0,7.56,42.2,20.9
16,15,0,9.33,44.8,12.6
16,16,0,8.68,43.7,#VALUE!
16,17,0,10.7,46.9,#VALUE!
16,18,0,8.17,43.2,#VALUE!
16,19,0,7.77,41.8,22
16,20,0,8.94,43.3,20.3
16,21,0,8.64,43.1,18.4
16,22,0,6.25,39.2,21.2
16,23,0,6.86,41.4,17.2
16,24,0,8.39,41.2,21.1
16,25,0,7.77,41.4,25
16,26,0,7.39,41.5,19.4
16,27,0,6.37,39.2,20.4
16,28,0,7.51,41.4,16.6
16,29,0,6.5,40,24.2
16,30,0,8.24,42.9,24.1
16,31,0,7.05,40.5,19.5
16,32,0,6.27,39,23.4
16,33,0,6.84,40.4,20.9
16,34,0,5.82,39.3,19.6
16,35,0,9.62,44.8,20.6
16,36,0,6.95,40.6,29.2
16,37,0,8.37,41.3,16.1
16,38,0,10.15,45.3,16.2
16,39,0,7.76,40.8,15.3
16,40,0,7.36,41.3,10.8
16,41,0,6.02,39,22.8
16,42,0,7.39,41.3,30.3
16,43,0,7.55,41.4,26.5
16,44,0,5.43,37.7,19.2
16,45,0,7.38,39.6,22.4
16,46,0,4.67,35.8,17.6
16,47,0,4.99,35.9,16.7
16,48,0,5.39,36,15.8
16,49,0,10.69,44.6,19.8
16,50,0,7.51,42.1,22
