week,anno,treat,weight,sul,smi 
20,26,1,4.74,35.4,19.5
20,27,1,4.77,35.8,18.8
20,28,1,3.53,33.1,17.9
20,29,1,3.82,32.8,17.6
20,30,1,3.86,34.1,15.5
24,1,0,8.37,43.9,17.6
24,2,0,9.2,43.5,18.7
24,3,0,9.98,46.2,18.5
24,4,0,11.17,47.8,21.6
24,5,0,10.46,45.7,29.1
24,6,0,8.82,43.6,30
24,7,0,10.57,46.1,27.8
24,8,0,10.52,45.1,26.6
24,9,0,13.33,48.3,25.1
24,10,0,10.03,45.3,22.4
24,11,0,8.87,43.1,25.2
24,12,0,10.19,46.5,27.3
24,13,0,11.7,47,28.6
24,14,0,7.36,41.3,31.4
24,15,0,7.62,41.6,28.8
24,16,0,9.88,45,29.5
24,17,0,15.06,51.9,24.8
24,18,0,12.85,47.6,24.3
24,19,0,14.05,48.7,22.2
24,20,0,8.75,44.1,11.7
24,21,0,6.92,38.7,25
24,22,0,10.32,45.2,29.1
24,23,0,9.65,43.3,31.5
24,24,0,8.42,43.1,21.5
24,25,0,5.99,39.2,33.6
24,26,0,6.17,39,25.9
24,27,0,6.31,38.6,27.9
24,28,0,5.54,37.8,22.6
24,29,0,6.96,39.1,32.9
24,30,0,3.11,31.1,20.5
24,1,1,8.18,43.5,23.5
24,2,1,5.96,39.3,16.7
24,3,1,5.38,37.3,14.2
24,4,1,5.52,37.5,30.6
24,5,1,7.61,42,20.2
24,6,1,8.18,41.9,21.8
24,7,1,7.57,42.3,22.3
24,8,1,5.91,38.3,22.7
24,9,1,5.7,38,21.7
24,10,1,5.47,39.3,28.7
24,11,1,5.03,37.1,33.6
24,12,1,7.27,41.9,20.5
24,13,1,3.89,34.6,24.1
24,14,1,3.65,34.1,21.8
24,15,1,7.19,41.8,19.5
24,16,1,6.1,40.4,21.5
24,17,1,6.71,40.2,18.6
24,18,1,4.12,34.8,18.4
24,19,1,12.41,46.6,17.8
24,20,1,6.07,40.2,18.8
24,21,1,8.12,43.8,25.4
24,22,1,4.8,36.1,22.8
24,23,1,5.79,39.1,19.2
24,24,1,6.3,39.3,23
24,25,1,6.6,40.3,24.1
24,26,1,5.87,39.9,25.8
24,27,1,5.37,37.8,23.8
24,28,1,4.26,36.7,22.8
24,29,1,5.54,38.9,20.1
24,30,1,4.75,36.9,19
28,1,0,10.62,45.5,21.1
28,2,0,12.24,47.3,21.8
28,3,0,14.79,49.8,21.1
28,4,0,9.65,45.1,19.5
28,5,0,10.68,47.4,23.4
28,6,0,11.93,49.1,25.3
28,7,0,12.39,48.7,26.5
28,8,0,12.25,48.5,26.3
28,9,0,8.04,43.2,19.4
28,10,0,13.38,50.2,27.7
28,11,0,9.9,44.8,23
28,12,0,11.41,47.1,25.2
28,13,0,11.42,47.2,25.2
28,14,0,10.33,45,23.9
28,15,0,8.58,43,20.8
28,16,0,2.69,30.6,9.1
28,17,0,16.63,52.3,33.1
28,18,0,10.62,46.4,23.8
28,19,0,7.39,39.9,19.3
28,20,0,10.18,46.5,22.8
28,21,0,10.74,47.4,23.6
28,22,0,7.57,41.3,19.1
28,23,0,15.49,52.5,30.7
28,24,0,13.85,51.2,28.1
28,25,0,11.12,46,25.1
28,26,0,6.49,39.2,17.2
28,27,0,6.75,40,17.6
28,28,0,7.53,41.8,18.7
28,29,0,6.96,39.2,18.5
28,30,0,9.48,45.6,21.6
28,1,1,6.56,39.2,18.7
28,2,1,8.09,43.9,15.7
28,3,1,10.16,45.2,17.6
28,4,1,9.59,43.8,14.1
28,5,1,6.42,39,17.1
28,6,1,6.95,39.8,18.2
28,7,1,8.08,44.3,19
28,8,1,5.81,37.7,16
28,9,1,6.32,39.6,16.6
28,10,1,9.04,45.2,20.8
28,11,1,4.37,36.2,12.6
28,12,1,5.49,37.9,15.1
28,13,1,6.68,41,16.9
28,14,1,3.82,34.7,11.4
28,15,1,8.94,43.7,21.3
28,16,1,7.71,41.8,19.2
28,17,1,7.86,43.2,18.9
28,18,1,5.72,39.1,15.2
28,19,1,4.49,37.4,12.5
28,20,1,6.69,40.9,17
28,21,1,5.22,38.8,14
28,22,1,7.97,42.4,19.5
28,23,1,7.57,41.8,18.8
28,24,1,7.18,41.7,17.9
28,25,1,6.98,41.3,17.6
28,26,1,5.99,40.2,15.5
28,27,1,10.43,46.2,23.5
28,28,1,6.39,39.8,16.7
28,29,1,5.18,38,14.2
28,30,1,14.72,50,30.6
32,1,0,14.24,50.9,29.1
32,2,0,14.5,50.2,30
32,3,0,13.08,49,27.8
32,4,0,12.29,48.1,26.6
32,5,0,12.11,50.2,25.1
32,6,0,9.99,46.4,22.4
32,7,0,11.69,48.3,25.2
32,8,0,12.78,48.6,27.3
32,9,0,14.1,51.3,28.6
32,10,0,15.32,50.8,31.4
32,11,0,13.77,49.8,28.8
32,12,0,14.76,52.1,29.5
32,13,0,11.2,46.9,24.8
32,14,0,11.09,47.4,24.3
32,15,0,9.41,44,22.2
32,16,0,3.57,31.8,11.7
32,17,0,11.69,48.7,25
32,18,0,14.06,50.3,29.1
32,19,0,15.67,51.8,31.5
32,20,0,8.99,43.4,21.5
32,21,0,17.69,54.8,33.6
32,22,0,11.56,46.4,25.9
32,23,0,12.6,47,27.9
32,24,0,10.27,47.2,22.6
32,25,0,16.6,52.4,32.9
32,26,0,8.43,42.8,20.5
32,27,0,8.66,42.7,21.1
32,28,0,9.05,43.1,21.8
32,29,0,9.02,44.4,21.1
32,30,0,7.83,41.8,19.5
32,1,1,8.45,43.4,20.2
32,2,1,9.23,44,21.8
32,3,1,9.57,44.7,22.3
32,4,1,9.82,44.9,22.7
32,5,1,9.26,44.4,21.7
32,6,1,13.29,48.1,28.7
32,7,1,16.78,52,33.6
32,8,1,8.54,43.3,20.5
32,9,1,10.57,45.7,24.1
32,10,1,8.78,41.9,21.8
32,11,1,7.85,41.9,19.5
32,12,1,8.91,43.1,21.5
32,13,1,7.51,42.1,18.6
32,14,1,7.27,41,18.4
32,15,1,6.93,40.5,17.8
32,16,1,7.81,43.2,18.8
32,17,1,12.1,49.5,25.4
32,18,1,10.26,46.8,22.8
32,19,1,8,43.3,19.2
32,20,1,10.66,48.3,23
32,21,1,11.36,49,24.1
32,22,1,12.3,49.6,25.8
32,23,1,11,48.1,23.8
32,24,1,9.38,42.7,22.8
32,25,1,8.05,41.7,20.1
32,26,1,7.8,42.7,19
32,27,1,7.31,40.6,18.7
32,28,1,5.69,37.8,15.7
32,29,1,6.79,40.2,17.6
32,30,1,5.05,37.2,14.1
